,Users,Date Created,Number of Likes,Source of Tweet,Tweet
0,Jon Belloo,2022-10-25 18:05:18+00:00,0,Twitter for Android,@SkyNews A disgraceful minority. I speak on behalf of the UK in saying Rishi Sunak is our PM and we do not need a general election.
1,Liberty & Justice 4 All,2022-10-25 18:05:17+00:00,0,Twitter for Android,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
2,Sile🇮🇪🌈,2022-10-25 18:05:17+00:00,0,Twitter Web App,RT @JeremyCliffe: I'm aware the significance of this won't be immediately clear to my followers outside UK. So: here are some of reasons wh…
3,Hollering,2022-10-25 18:05:17+00:00,0,Twitter for Android,RT @paul_lever: Hard to see a way back for Boris Johnson. Rishi Sunak will be PM until 2024. If the Conservatives win he'll be in office fo…
4,🇮🇳 Sooraj 🇮🇳 💛💛,2022-10-25 18:05:16+00:00,0,Twitter for Android,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
5,Jonathan Stone,2022-10-25 18:05:16+00:00,0,Twitter Web App,RT @marcusanddusty: Rishi Sunak is proof to all little South Asian kids that if your parents send you to £46k pa Winchester College you bec…
6,🕷️Dez Bunny-Hugger 🇪🇺 #FBPPR,2022-10-25 18:05:16+00:00,0,Twitter Web App,RT @davidyelland: Am I alone in having never voted Tory - wanting them gone - but proud to live in a country where Rishi Sunak can be PM?
7,Carmel,2022-10-25 18:05:16+00:00,0,Twitter Web App,"RT @simonharris_mbd: Ironically, more people will ask ASDA for a £1 soup, roll and coffee deal this winter than the number of people who vo…"
8,Suzie,2022-10-25 18:05:16+00:00,0,Twitter for iPhone,"RT @CountBinface: Rishi Sunak votes for PM: 193
Count Binface votes for mayor: 92,896"
9,प्रभात यादव,2022-10-25 18:05:14+00:00,0,Twitter for Android,RT @aashishNRP: New Prime Minister of United Kingdom Rishi Sunak seen wearing the Hindu-sacred Kalava on his wrist while addressing the fir…
