,Users,Date Created,Number of Likes,Source of Tweet,Tweet
0,ender semerkant,2022-10-25 18:01:25+00:00,0,Twitter Web App,RT @mehmetxtrk: Rishi Sunak bir robottur. Başbakan olarak ilk konuşmayı yaptıktan sonra robot gibi el sallıyor https://t.co/ivf8j4UqUd
1,ROHAN J. GONSALVES,2022-10-25 18:01:25+00:00,0,Twitter for Android,RT @wesstreeting: There are lots of children in my constituency and beyond who will see someone who looks like them walk into No. 10 today.…
2,Power Ade,2022-10-25 18:01:25+00:00,0,Twitter for iPhone,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
3,GodBeauty- #2000Mules,2022-10-25 18:01:24+00:00,0,Twitter Web App,"Rishi Sunak, A Hindu Come to Judgment https://t.co/ZkYlapR1Gm @JovanHPulitzer"
4,Ellie,2022-10-25 18:01:24+00:00,0,Twitter for iPhone,"RT @TonyParsonsUK: BREAKING: Multi-millionaire barrister Sir Keir Rodney Starmer, King’s Counsel (KC), Knight Commander of the Order of the…"
5,Ashwath Narayan,2022-10-25 18:01:24+00:00,0,Twitter Web App,"RT @AdityaRajKaul: Excellent Rishi Sunak edition of The Daily Show!  “I am selling the entire country to India, you ********”. Must must wa…"
6,saurjyesh,2022-10-25 18:01:24+00:00,0,Twitter for iPhone,"RT @ConstantinoX: 🧵 Portugal has an Indian-origin PM since 2015.

This gives us an idea of how PM Modi/India May deal with 🇬🇧 Indian origin…"
7,Phil Dawe,2022-10-25 18:01:24+00:00,0,Twitter for Android,"RT @JamesMelville: Rishi Sunak: “mistakes were made.”

Yes. Quite often by him. https://t.co/XmQwK9yHbQ"
8,Ruth Whalley,2022-10-25 18:01:24+00:00,0,Twitter for iPad,"RT @docrussjackson: Oh FFS is trending.

Braverman? Raab? Coffey? REALLY? Even Gavin fucking Williamson is being considered for a comeback!…"
9,AngieD,2022-10-25 18:01:24+00:00,0,Twitter for iPhone,"RT @ShippersUnbound: Politics is a rough trade and Rishi Sunak needed Suella Braverman's support at the weekend, but receiving several 🤮 em…"
10,David Bruce,2022-10-25 18:01:24+00:00,0,Twitter for iPhone,"RT @TonyParsonsUK: BREAKING: Multi-millionaire barrister Sir Keir Rodney Starmer, King’s Counsel (KC), Knight Commander of the Order of the…"
11,Sanjay🇮🇳,2022-10-25 18:01:24+00:00,0,Twitter for Android,"RT @ARanganathan72: Left: Do not celebrate Rishi Sunak. He exhibits upper class, upper caste privilege, married into billions, attended a p…"
12,Nacho,2022-10-25 18:01:24+00:00,0,Twitter Web App,"RT @Dvdzov: En China Xi Jinping es electo por 2500 delegados en el Congreso del PCCh y es llamada dictadura totalitaria, en Reino Unido sob…"
13,mikeo2001i,2022-10-25 18:01:24+00:00,0,Twitter for Android,"RT @ShippersUnbound: Politics is a rough trade and Rishi Sunak needed Suella Braverman's support at the weekend, but receiving several 🤮 em…"
14,Jon 🌹🇬🇧,2022-10-25 18:01:24+00:00,0,Twitter for iPhone,"RT @RichardJMurphy: So, Rishi Sunak appoints as Home Secretary a woman who dreams of deporting victims of torture to Rwanda. Any hope that…"
15,Uygar Baspehlivan,2022-10-25 18:01:24+00:00,0,Twitter for iPhone,RT @ReutersPitchbot: BREAKING: Rishi Sunak has resigned as England's Prime Minister
16,.,2022-10-25 18:01:23+00:00,0,Twitter for iPhone,"RT @OwenJones84: Self-described 'moderates' describing the rise of Rishi Sunak as 'the return of the grown-ups' underlines, as ever, that '…"
17,Lionel Harrison🙂,2022-10-25 18:01:23+00:00,0,Twitter for iPhone,"RT @Women4Wes: In just thirty seconds, this construction worker from Wakefield provided analysis of Rishi Sunak’s coronation that was more…"
18,Abhay,2022-10-25 18:01:23+00:00,0,Twitter for Android,"RT @ARanganathan72: Left: Do not celebrate Rishi Sunak. He exhibits upper class, upper caste privilege, married into billions, attended a p…"
19,ang,2022-10-25 18:01:23+00:00,0,Twitter Web App,RT @premnsikka: Cruel Suella Braverman has been re-appointed as Home Secretary by Rishi Sunak. Less than a week after being sacked for brea…
20,Virginia Tym #SolidarityWithUkraine #SaveOurNHS,2022-10-25 18:01:22+00:00,0,Twitter Web App,"RT @KR0122Rex: A collective ""oh ffs!"" could be heard around the country as Rishi Sunak announced the (re)appointment of Geobbels Braverman…"
21,Aletheia 💙,2022-10-25 18:01:22+00:00,0,Twitter for iPhone,"RT @MimiJ9: Suella Braverman is a fascist. There was absolutely no need for Sunak to bring her back. 

For those praising Rishi Sunak yeste…"
22,Retweet Star,2022-10-25 18:01:22+00:00,0,Twitter for iPhone,RT @NarundarM: Rishi Sunak is as much an Indian as Smriti Irani is an Iranian.
