,Users,Date Created,Number of Likes,Source of Tweet,Tweet
0,Madhuri k,2022-10-25 18:07:33+00:00,0,Twitter Web App,"RT @Pun_Starr: Canadian citizen Akshay Kumar and British citizen Rishi Sunak are Indians.

But Indian citizen Sonia Gandhi is Italian, and…"
1,Rob Griffin,2022-10-25 18:07:33+00:00,0,Twitter Web App,RT @unionlib: Kemi Badenoch; a transphobe who plays down the impact of racism has been made Minister for Equalities. Therese Coffey who has…
2,Kathy Thornett,2022-10-25 18:07:32+00:00,0,Twitter for Android,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
3,Anton Pavlenko,2022-10-25 18:07:32+00:00,0,Twitter for Android,RT @DmytroKuleba: I had a call with my UK counterpart @JamesCleverly who has just been re-appointed to the new government of Prime Minister…
4,Prateek,2022-10-25 18:07:32+00:00,0,Twitter for Android,RT @akm1410: The only Indian to pride himself on Rishi Sunak is Mr. Narayana Murthy to have the British PM as his son in law. Everyone else…
5,Louisa #FBPE 🇪🇺🇺🇦,2022-10-25 18:07:32+00:00,0,Twitter for iPhone,RT @CarolineLucas: Utterly shameful for Rishi Sunak to remove seat at cabinet table for COP26 President Alok Sharma - just weeks before one…
6,Matthew Cooper 🇺🇦,2022-10-25 18:07:32+00:00,0,Twitter for iPhone,"RT @PeterStefanovi2: At noon Rishi Sunak promised a “compassionate” Government

At 5pm he made Suella Braverman - with her cruel &amp; toxic vi…"
7,Karen Simpson,2022-10-25 18:07:32+00:00,0,Twitter for Android,RT @snb19692: Breaking News: Rishi Sunak promises to clear up the economic mess that Rishi Sunak made!
8,"BlueWanderer - Pro-Women, Pro-Choice",2022-10-25 18:07:31+00:00,0,Twitter for iPhone,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
9,″,2022-10-25 18:07:31+00:00,0,Twitter Web App,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
10,victor blanco,2022-10-25 18:07:31+00:00,0,Twitter Web App,"RT @PadreEmerito: Rishi Sunak, el nuevo y flamante nuevo primer ministro Británico al que nadie ha votado ya está usando ""Putin's war"" como…"
11,Hannah Martin,2022-10-25 18:07:31+00:00,0,Twitter for iPhone,RT @TheDailyShow: Don't call Rishi Sunak the UK's first Asian PM in front of @ronnychieng https://t.co/IgnzVk8r62
12,Çağla Üren,2022-10-25 18:07:31+00:00,0,Twitter for Android,RT @caglauren: Britanya'da Rishi Sunak resmen başbakan. Kral Charles'tan onay alarak görevine başladı. Britanya'nın Hint asıllı ilk başbaka…
13,Gene KIM,2022-10-25 18:07:30+00:00,0,Twitter for Android,RT @Independent: Rishi Sunak becomes UK’s third prime minister this year https://t.co/C8OYTIkB7q
14,Rohit.,2022-10-25 18:07:30+00:00,0,Twitter Web App,"RT @ARanganathan72: Left: Do not celebrate Rishi Sunak. He exhibits upper class, upper caste privilege, married into billions, attended a p…"
15,𝐌𝐢𝐠𝐮𝐞𝐥 𝐋.𝐋𝐥𝐞𝐧𝐚𝐬,2022-10-25 18:07:30+00:00,0,Twitter for iPhone,El nuevo PM de UK Rishi Sunak fue un eje crucial en sacar a Boris Johnson del poder siendo su Canciller. Lo traicio… https://t.co/moI026ZMPR
16,terry,2022-10-25 18:07:30+00:00,0,Twitter for iPhone,RT @PFr1end: There's are so many protests by the Left about Rishi Sunak bringing back Suella Braverman that you know she's a guaranteed vot…
17,Phelim Murnion,2022-10-25 18:07:30+00:00,0,Twitter for Android,"RT @DarrellChaloner: A poem for the accession of Rishi Sunak, by my good friend @KevinHIpoet1967 https://t.co/nwbPX708KX"
18,Lauran Driscoll 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺,2022-10-25 18:07:30+00:00,0,Twitter for iPhone,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
19,predator,2022-10-25 18:07:30+00:00,0,Twitter for Android,RT @rsprasad: A competent leader of Indian origin Rishi Sunak is becoming the Prime Minister of UK. We all need to compliment him on this e…
20,Top Punjabi,2022-10-25 18:07:30+00:00,0,Twitter for Android,"RT @AdityaRajKaul: Excellent Rishi Sunak edition of The Daily Show!  “I am selling the entire country to India, you ********”. Must must wa…"
21,😈😈😈𝕯𝖔 𝖙𝖍𝖊 𝕯𝖊𝖛𝖎𝖑'𝕾𝖒𝖎𝖗𝖐😈😈😈,2022-10-25 18:07:30+00:00,0,Twitter for Android,"RT @Lowkey0nline: Joe Biden congratulates new British Prime Minister Rishi Sunak by calling him ""Rashid Sanook.""
https://t.co/x4WQuXZEXp"
22,Fabio and 69 others,2022-10-25 18:07:30+00:00,0,Twitter for iPhone,Gordon watching people call Rishi Sunak the first brown Prime Minister https://t.co/1xWMW9e6m0
23,Clarice,2022-10-25 18:07:29+00:00,0,Twitter Web App,"RT @PeterStefanovi2: At noon Rishi Sunak promised a “compassionate” Government

At 5pm he made Suella Braverman - with her cruel &amp; toxic vi…"
24,Elizabeth,2022-10-25 18:07:29+00:00,0,Twitter Web App,"RT @christopherhope: LATEST Anyone attacking Suella Braverman's return to the Home Office has not been paying attention.
Braverman's reappo…"
25,Lesley Hart,2022-10-25 18:07:29+00:00,0,Twitter for iPhone,"RT @BeckettUnite: A reminder that Track &amp; Trace never worked, was always in the hands of private providers (never the NHS) and wasted £37 b…"
26,nofrills/文法を大切にして翻訳した共訳書『アメリカ侵略全史』作品社など,2022-10-25 18:07:29+00:00,0,Twitter for Android,"RT @zarahsultana: Rishi Sunak will be a super-rich Prime Minister, governing for the super-rich. https://t.co/65mpdi0UwS"
27,A-Z 🗯🃏,2022-10-25 18:07:29+00:00,0,Twitter for iPhone,"RT @YDaCruzLeg: 🇬🇧🎉 Je vous présente le nouveau Premier Ministre britannique ! 🎉😂

Le multimillionnaire d'origine indienne Rishi Sunak a ét…"
28,Michael,2022-10-25 18:07:29+00:00,0,Twitter for iPhone,"RT @Telegraph: 🔵 Tens of thousands of Tory members will leave the party in anger at being denied a vote on the next leader, Rishi Sunak has…"
29,The Ombudsmans61percent Campaign,2022-10-25 18:07:29+00:00,0,Twitter Web App,Rishi Sunak latest news: Michael Gove returns to Cabinet as Levelling Up Secretary https://t.co/xg9EBAIQUv via… https://t.co/W6BiSkt5bq
30,Gary Rowe,2022-10-25 18:07:28+00:00,0,Fenix 2,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
