,Users,Date Created,Number of Likes,Source of Tweet,Tweet
0,Vendetta,2022-10-25 18:03:33+00:00,0,Twitter for Android,"RT @KChiruTweets: Who would have thought when India celebrates 75 years of Independence from the British, the British will get a Prime Mini…"
1,Antoinette Thomas,2022-10-25 18:03:32+00:00,0,Twitter for iPhone,RT @PeterSweden7: The new British PM has family ties to a company that works with digital ID and is a partner of the World Economic Forum…
2,Jackie Harris,2022-10-25 18:03:31+00:00,0,Twitter Web App,"RT @UZI9mmmm: Britain granted India independence in 1947. New British PM Sunak, of Indian origin, denying Scotland independence referendum…"
3,Apocalyptica,2022-10-25 18:03:26+00:00,0,Twitter for iPhone,Will the British ever have a normal person as PM? https://t.co/VZ2XmDugBR
4,Craig Lowe,2022-10-25 18:03:24+00:00,0,Twitter for iPhone,"RT @Botanygeek: As a British Asian, I’d feel much more like agreeing with people celebrating an Asian PM if his first moves weren’t to:

1)…"
5,Jean Verlich,2022-10-25 18:03:21+00:00,0,Twitter Web App,RT @PeterSweden7: The new British PM has family ties to a company that works with digital ID and is a partner of the World Economic Forum…
6,Work. Work Hard. Work Extremely Hard. 📚,2022-10-25 18:03:13+00:00,0,Twitter Web App,"RT @SprinterMonitor: In the first speech, the British PM accused Russia of destabilizing energy markets and supply chains around the world.…"
7,Robert 🚴‍ Walker 🇪🇺#FBPE🇬🇧ཨོཾ་མ་ཎི་པདྨ་ཧཱོུཾཿ,2022-10-25 18:03:09+00:00,0,Twitter for iPhone,"RT @Keir_Starmer: Congratulations, Rishi Sunak, on becoming Prime Minister and making history as the first British Asian PM.

The Tories ha…"
8,Asis Agarwal,2022-10-25 18:03:09+00:00,0,Twitter for Android,"RT @ANI: This govt will be about integrity, professionalism and accountability at every level. Trust is earned and I will earn yours: Briti…"
9,0369 काक चेष्टा बको ध्यानं,2022-10-25 18:03:07+00:00,0,Twitter for Android,"RT @anujdhar: If some angrez were to brag that ""We've made an Indian origin man our PM"", tell him:

1. Our Father of Nation wanted Union Ja…"
10,Nature 🌿🍃,2022-10-25 18:03:02+00:00,0,Twitter for Android,"RT @ANI: It's a big day for UK. We've a new PM. He's young. His grandparents came from India, his parents from East Africa. He's a Hindu. I…"
11,Melissa,2022-10-25 18:03:01+00:00,0,Twitter for iPhone,"RT @Keir_Starmer: Congratulations, Rishi Sunak, on becoming Prime Minister and making history as the first British Asian PM.

The Tories ha…"
12,niallbrady,2022-10-25 18:02:54+00:00,0,Twitter for iPhone,RT @NewtonEmerson: British economy when you finally get a PM who can string a sentence together. https://t.co/nGtuzVPeWN
13,M_o_h_a_m_m_e_d,2022-10-25 18:02:48+00:00,0,Twitter for Android,RT @PeterSweden7: The new British PM has family ties to a company that works with digital ID and is a partner of the World Economic Forum…
14,Kunal Gupte,2022-10-25 18:02:47+00:00,0,Twitter for Android,"@PersyLives Because race was a dominant narrative till the mid 19th century, before political correctness became fa… https://t.co/dhMmymX6Ue"
15,Andrew Beal,2022-10-25 18:02:46+00:00,0,Twitter Web App,RT @PeterSweden7: The new British PM has family ties to a company that works with digital ID and is a partner of the World Economic Forum…
16,Gary Simpson,2022-10-25 18:02:41+00:00,0,Twitter for iPhone,RT @NewtonEmerson: British economy when you finally get a PM who can string a sentence together. https://t.co/nGtuzVPeWN
17,mothergoose,2022-10-25 18:02:41+00:00,0,Twitter Web App,"RT @richimedhurst: We have a new Prime Minister in the UK, unelected by the British people or even the Tories. He didn’t give a single deba…"
18,Mike Erivez,2022-10-25 18:02:40+00:00,0,Twitter for iPhone,RT @PeterSweden7: The new British PM has family ties to a company that works with digital ID and is a partner of the World Economic Forum…
19,Ènìyàn Ńlá 🇬🇧,2022-10-25 18:02:36+00:00,0,Twitter for Android,"RT @DemolaRewaju: ""The Heart of our Mandate is Our Manifesto"" - new British PM, Rishi Sunak.

Anyone defending or excusing a lack of manife…"
20,Cultural Tourism DC,2022-10-25 18:02:33+00:00,0,Twitter Web App,RT @mindymoretti: That time the new British PM was hanging in The Devil’s Playground. A real man of the people! https://t.co/JfdJqNxAIf
21,Asuraguru,2022-10-25 18:02:32+00:00,0,Twitter for Android,"RT @manojgjha: @anandmahindra @RishiSunak is the new UK Prime Minister. He’ll be the first British-Asian PM &amp; first Hindu PM, and at 42, th…"
22,Nicolaaaahhh,2022-10-25 18:02:31+00:00,0,Twitter for Android,"RT @Botanygeek: As a British Asian, I’d feel much more like agreeing with people celebrating an Asian PM if his first moves weren’t to:

1)…"
23,Brajesh Uppadhyay,2022-10-25 18:02:30+00:00,0,Twitter for Android,"RT @ANI: Rishi Sunak appointed the new British PM by King Charles III

(Photo source: Conservatives) https://t.co/On2i1vYd3o"
24,VEnkatesh🤡,2022-10-25 18:02:29+00:00,0,Twitter for Android,"RT @KChiruTweets: Who would have thought when India celebrates 75 years of Independence from the British, the British will get a Prime Mini…"
25,Catfella 🇺🇦🤝🇩🇪,2022-10-25 18:02:29+00:00,0,Twitter for Android,"RT @EuromaidanPress: Putin’s war in Ukraine destabilized energy markets  around world– new British PM Rishi Sunak

PM said that the UK face…"
26,TW1TT3RK1NG❌,2022-10-25 18:02:23+00:00,0,Twitter for Android,RT @suzseddon: New British PM Rishi Sunak is welcomed by Indian PM Modi. Who openly advocates enforcing the WEF’s globalist Agenda 2030 ont…
27,Kestrel,2022-10-25 18:02:18+00:00,0,Twitter for iPhone,"RT @vanguardngrnews: [VIDEO] UK PM Sunak performs rituals before entering new office

The British Prime Minister Rishi Sunak performed some…"
28,Mskt,2022-10-25 18:02:17+00:00,0,Twitter for Android,"RT @madhukishwar: The new British PM @RishiSunak has passed the most crucial litmus test of being a practicing Hindu.

He worships Gau Mata…"
