,Users,Date Created,Number of Likes,Source of Tweet,Tweet
0,President Millar,2022-10-25 18:04:13+00:00,0,Twitter for iPhone,RT @JDMahama: Significant developments in the UK with 42 year old @RishiSunak emerging as Leader of the Conservative Party and soon to be a…
1,"Wake Up America, the Original",2022-10-25 18:04:10+00:00,0,Twitter Web App,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
2,jothi venkaSESH,2022-10-25 18:04:08+00:00,0,Twitter for iPhone,RT @jasebyjason: I really think Rishi Sunak being the first non-white Prime Minister only becomes genuinely historic if he’s voted into off…
3,Shreyeaaahhh,2022-10-25 18:04:07+00:00,0,Twitter for Android,RT @NewsBytesApp: Rishi Sunak scripted history on Monday after winning the race to lead the Conservative Party &amp; became the PM of the Unite…
4,Samantha,2022-10-25 18:04:04+00:00,0,Twitter for iPhone,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
5,CommonCent5,2022-10-25 18:04:03+00:00,0,Twitter Web App,@IDontEvenWait @Leerose1985 @SusanSarandon The Nazis are more with the US style of left than conservative. The stat… https://t.co/gvuG1MI6fE
6,2020,2022-10-25 18:04:02+00:00,0,Twitter for iPhone,"After this sycophantic article in the Times, Kemi keeps her job in the reshuffle.
The Conservative Party 2022.… https://t.co/o0irBcGPsC"
7,Helen Cook,2022-10-25 18:04:00+00:00,0,Twitter for iPhone,"RT @GOV2UK: Jacob Rees-Mogg is furious that you keep retweeting him saying a new Prime Minister requires a General Election.

Please stop r…"
8,ProgShrop,2022-10-25 18:04:00+00:00,0,Twitter for Android,"RT @BladeoftheS: 55 Tufton Street own Rishi Sunak, just like they owned Johnson and Liz Truss.

Their claws will not leave the current Cons…"
9,sylvie adler,2022-10-25 18:03:58+00:00,0,Twitter for iPhone,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
10,doriparella,2022-10-25 18:03:58+00:00,0,Twitter for Android,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
11,Gareth Miller,2022-10-25 18:03:57+00:00,0,Twitter for iPhone,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
12,Fred,2022-10-25 18:03:55+00:00,0,Twitter for iPad,"@Conservatives No morals, no honesty, no good about sums up the Conservative party. #SunakOut #NotMyPM #ToryKorea #GeneralElectionNow"
