,Users,Date Created,Number of Likes,Source of Tweet,Tweet
0,Neha Joshi,2022-10-25 18:00:36+00:00,0,Twitter for iPhone,"RT @ARanganathan72: Left: Do not celebrate Rishi Sunak. He exhibits upper class, upper caste privilege, married into billions, attended a p…"
1,Tracy Gallagher,2022-10-25 18:00:35+00:00,0,Twitter for iPhone,RT @freddiemac1: Rishi Sunak is going to phone crookit Nicola tonight. Presumbly to ask her what she has done with the billions of £s of co…
2,Tyrone Asaurus,2022-10-25 18:00:35+00:00,0,Twitter Web App,RT @jeremycorbyn: Rishi Sunak's cabinet appointments are a clear signal of the pro-austerity and anti-migrant machine he intends to operate…
3,Jim T,2022-10-25 18:00:35+00:00,0,Twitter for iPhone,"RT @TalkTV: Mike reacts to Joe Biden's mispronunciation of Rishi Sunak as 'Rashi Sanook' in a speech marking Diwali. 

@iromg https://t.co/…"
4,Donna Hill,2022-10-25 18:00:35+00:00,0,Twitter for Android,RT @PeterStefanovi2: I’ve broken down the ABSOLUTE BOLLOCKS new Prime Minister Rishi Sunak just fed the country in his first Downing Street…
5,Aquarius Crystal Crafts,2022-10-25 18:00:35+00:00,0,Twitter for Android,RT @BeckettUnite: Rishi Sunak met the heads of American Healthcare corporations in California in December ‘21. The official Treasury minute…
6,Akhil 🇮🇳,2022-10-25 18:00:35+00:00,0,Twitter Web App,RT @kushal_mehra: Most lefties don't get why average Indians are happy for Rishi Sunak. They know Rishi won't be pro India. Heck they want…
7,Ares,2022-10-25 18:00:35+00:00,0,Twitter for Android,"RT @ajplus: BREAKING: Rishi Sunak is now set to become UK's next prime minister, after the other candidate withdrew.

The ex-finance minist…"
8,Auntie Shirley #GEnow 🇪🇺 🏴󠁧󠁢󠁳󠁣󠁴󠁿😷🇺🇦,2022-10-25 18:00:34+00:00,0,Twitter for iPad,RT @PoliNATlON: 🚨|BREAKING: Larry the Cat glues himself to the floor in protest to Rishi Sunak https://t.co/OYZJUsGgPV
9,Mister Bluesky,2022-10-25 18:00:34+00:00,0,Twitter for Android,"RT @CarolineLucas: Not a single mention of climate in Rishi Sunak's first speech as PM. It's not like we're facing a climate emergency, a m…"
10,Le Journal de Québec,2022-10-25 18:00:34+00:00,0,Twitter Web App,L'immense fortune de Rishi Sunak fait grincer des dents https://t.co/6IDMi1avNh
11,Riley Collins,2022-10-25 18:00:33+00:00,0,Twitter Web App,RT @BBCAlagiah: I’m in the chemo clinic watching Rishi Sunak become the first person of colour to be PM. For a 1st generation migrant like…
12,Elaine Callander,2022-10-25 18:00:33+00:00,0,Twitter for iPhone,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
13,BringBackBoris,2022-10-25 18:00:33+00:00,0,Twitter for iPhone,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
14,Graffiti,2022-10-25 18:00:33+00:00,0,Twitter Web App,RT @Andybettridge1: Nice to see the new PM Rishi Sunak already showing his green credentials...recycling former failed Tory Ministers into…
15,chanda shah,2022-10-25 18:00:33+00:00,0,Twitter for Android,"RT @GabbbarSingh: Two Gujaranwala boys in their 40s who married rich Indian girls from an IT city, and performed really well globally. 

Sh…"
16,Roche Francis,2022-10-25 18:00:33+00:00,0,Twitter for iPhone,RT @Arthy7777: Le nouveau Premier ministre britannique Rishi Sunak et sa femme Akshata Murty sont plus riches que les membres de la famille…
17,John Clerkin,2022-10-25 18:00:33+00:00,0,Twitter Web App,"RT @tonypatt2000: Rishi Sunak is going to be crap, isn't he?"
18,arun,2022-10-25 18:00:33+00:00,0,Twitter Web App,"Narayan Murthy से कैसे जुड़ा Rishi Sunak का रिश्ता, Akshata से शादी का क... https://t.co/ajbpHwkmjD via @YouTube 
#RishiSunak #BritainPM"
19,half of MVM,2022-10-25 18:00:32+00:00,0,Twitter for iPhone,"RT @Lowkey0nline: Joe Biden congratulates new British Prime Minister Rishi Sunak by calling him ""Rashid Sanook.""
https://t.co/x4WQuXZEXp"
20,Ahmad Nawaz Wattoo,2022-10-25 18:00:32+00:00,0,Twitter for Android,"RT @jeremycorbyn: In coronating Rishi Sunak, Tory MPs have decided that a former hedge fund manager is a safe pair of hands. 

The question…"
21,Margaret McInally,2022-10-25 18:00:32+00:00,0,Twitter for Android,"RT @CarolineLucas: Outrageous for Rishi Sunak to try and distance himself from Johnson's chaotic Govt, when he was right at the heart of it…"
22,Seannachaidh/Shenachie,2022-10-25 18:00:32+00:00,0,Twitter for Android,"RT @SkyNews: ""It's not for Rishi Sunak to decide whether Scotland becomes independent or not.""

Scotland's First Minister Nicola Sturgeon s…"
23,Colin Lefty Woke Rowe 🏴󠁧󠁢󠁳󠁣󠁴󠁿 #socialismnow,2022-10-25 18:00:31+00:00,0,Twitter for Android,"RT @TheMendozaWoman: Rishi Sunak is being touted as a moderate.

This is the guy who cheerfully reminded wealthy voters he redirected  publ…"
24,Mohammed Waseem,2022-10-25 18:00:31+00:00,0,Twitter for Android,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
25,Bob Millar,2022-10-25 18:00:31+00:00,0,Twitter for Android,"RT @zarahsultana: Rishi Sunak will be a super-rich Prime Minister, governing for the super-rich. https://t.co/65mpdi0UwS"
26,Andy Parker,2022-10-25 18:00:31+00:00,0,Twitter for Android,"RT @GOV2UK: Rishi Sunak profited from Putin's Regime via Infosys, which his wife holds a £670M stake in.. while Russia was *actually invadi…"
27,Feminazgûl 🕷,2022-10-25 18:00:31+00:00,0,Twitter Web App,"RT @PeterStefanovi2: At noon Rishi Sunak promised a “compassionate” Government

At 5pm he made Suella Braverman - with her cruel &amp; toxic vi…"
28,Lewis N Watson 🇺🇦,2022-10-25 18:00:31+00:00,0,Twitter for iPhone,RT @CountBinface: NEW: Rishi Sunak has resigned.
29,brutaltruth,2022-10-25 18:00:31+00:00,0,Twitter for Android,"@exbhakt_ Rishi sunak:
Pakistani- pak fida
Hindu -India fida&amp;trade deal
Dad/relatives World economic forum k member… https://t.co/INnoNRZLUY"
30,Raghunath Mukherjee,2022-10-25 18:00:30+00:00,0,Twitter for iPhone,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
31,Mayor of Delta #Obidient,2022-10-25 18:00:30+00:00,0,Twitter for Android,"RT @firstladyship: Rishi Sunak will address the UK in official capacity as Prime Minister at 11 AM, UK time. He’ll announce his cabinet the…"
32,N J Matthews,2022-10-25 18:00:30+00:00,0,Twitter for iPhone,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
33,Peter P Ngo,2022-10-25 18:00:30+00:00,0,Twitter Web App,"Putin has 'no hope' from Rishi Sunak as Ukraine war deteriorates Russia-UK ties (The Hindustan Times)
https://t.co/yUPb2OsrHo"
34,Bruce Henderson,2022-10-25 18:00:30+00:00,0,Twitter Web App,RT @GOV2UK: Jacob Rees-Mogg is very angry and wants you to *stop* retweeting this video of him saying we need a General Election if we have…
35,Dr DJ 🌎,2022-10-25 18:00:29+00:00,0,Twitter for iPhone,"It took Twitter literally 1 day to move on from Virat #Kohli to Rishi #Sunak 

The point is: even when you achieve… https://t.co/7AT4BC3aZf"
36,V. 🇫🇷🇬🇧 PhD #AYUB #LesMaitresdelOrage #InLimbo,2022-10-25 18:00:29+00:00,0,Twitter for Android,"RT @RichardJMurphy: So, Rishi Sunak appoints as Home Secretary a woman who dreams of deporting victims of torture to Rwanda. Any hope that…"
37,Nikhil Sharma,2022-10-25 18:00:29+00:00,0,Twitter for Android,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
38,Andrew Holmes,2022-10-25 18:00:29+00:00,0,Twitter for iPad,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
39,David Rowsell,2022-10-25 18:00:29+00:00,0,Twitter for iPhone,RT @jeremycorbyn: Rishi Sunak's cabinet appointments are a clear signal of the pro-austerity and anti-migrant machine he intends to operate…
40,Bromley St. Andrew,2022-10-25 18:00:29+00:00,0,Twitter for iPhone,"RT @CarolineLucas: Outrageous for Rishi Sunak to try and distance himself from Johnson's chaotic Govt, when he was right at the heart of it…"
41,Kersha Terhemba🇷🇺 Z,2022-10-25 18:00:29+00:00,0,Twitter for Android,"RT @ilciclistainblu: 🚨🚨🚨Meanwhile, Biden, instead of Rishi Sunak, congratulated a certain Rashid Sunuk on taking office as Prime Minister o…"
42,sebastien,2022-10-25 18:00:29+00:00,0,Twitter for iPhone,"RT @HughRBrechin: everyone loves Rishi Sunak, the sensible new Tory PM whose ascension means the grown-ups are back in charge!

we regret t…"
43,Naishika Maddireddy,2022-10-25 18:00:28+00:00,0,Twitter Web App,"RT @NarundarM: Rishi Sunak - Indian. 
Akshay Kumar - Indian. 
Sonia Gandhi - Italian. 
Indian Muslims - Not Indian.

Bhakt's logic:
If you…"
44,Mars D.,2022-10-25 18:00:28+00:00,0,Twitter Web App,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
45,SugarRay 👑,2022-10-25 18:00:28+00:00,0,Twitter for Android,RT @SkyNews: Will it be the third time lucky this year for the Tories as they embark on their next prime minister? https://t.co/PV59ncWu9G
46,Jim,2022-10-25 18:00:28+00:00,0,Twitter for Android,"RT @sammwittings: Oh ffs Braverman is Home Secretary again
Rishi Sunak is mad, bad and a lousy judge of character"
47,JustineR 💙,2022-10-25 18:00:28+00:00,0,Twitter for iPhone,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
48,Jon @ Talisman Island,2022-10-25 18:00:28+00:00,0,Twitter for iPhone,RT @jeremycorbyn: Rishi Sunak's cabinet appointments are a clear signal of the pro-austerity and anti-migrant machine he intends to operate…
49,Paul Goddard,2022-10-25 18:00:27+00:00,0,Twitter for iPhone,RT @Ed_Miliband: 4/ They must also U-turn on solar. Rishi Sunak spent the summer peddling the myth that solar panels were consuming our lan…
50,Takreem Ahmad,2022-10-25 18:00:27+00:00,0,Twitter for Android,RT @JournoMirror: सोनिया गाँधी जी के राजनीतिक जीवन पर सवाल कर Rishi Sunak के ब्रिटेन के प्रधानमंत्री बनने पर ख़ुशियाँ मनाने वाले लोग घोर जा…
51,Headline Karnataka,2022-10-25 18:00:27+00:00,0,Twitter Web App,"Difficult decisions ahead, #RishiSunak warns after taking charge as #UKPM https://t.co/SKpNo9Xjrq"
52,Vinay V/S 🙈🙉🙊,2022-10-25 18:00:27+00:00,0,Twitter Web App,@mkatju @ashu_deori @kunalkamra88 @RishiSunak Rishi Sunak appoints as Home Secretary a woman who dreams of deportin… https://t.co/xAlYPHTa38
53,Andrew Dunn,2022-10-25 18:00:26+00:00,0,Twitter for iPhone,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
54,Kuldeep Tiwari,2022-10-25 18:00:26+00:00,0,Twitter for Android,"RT @ARanganathan72: Left: Do not celebrate Rishi Sunak. He exhibits upper class, upper caste privilege, married into billions, attended a p…"
55,Karan kumar singh,2022-10-25 18:00:26+00:00,0,Twitter for Android,"RT @AdityaRajKaul: Excellent Rishi Sunak edition of The Daily Show!  “I am selling the entire country to India, you ********”. Must must wa…"
56,Fi McKinlay,2022-10-25 18:00:26+00:00,0,Twitter for iPhone,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
57,Raaj,2022-10-25 18:00:26+00:00,0,Twitter for Android,"RT @sidhant: UK Foreign Secretary @JamesCleverly called EAM Jaishankar; A tweet statement by EAM said both sides dscd counter-terrorism, bi…"
58,Clara Valverde,2022-10-25 18:00:26+00:00,0,Twitter for Android,"RT @OxfordDiplomat: Rishi Sunak waving outside 10 Downing Street. Not helping those Artificial Intelligence rumours. 

 https://t.co/ZildOJ…"
