,Unnamed: 0,Users,Date Created,Number of Likes,Source of Tweet,Tweet
588,88,Louisa Gummer 🕷💙🇪🇺🇺🇦,2022-10-25 18:01:58+00:00,0,Twitter for iPhone,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
589,89,Mary Manning,2022-10-25 18:01:57+00:00,0,Twitter Web App,RT @PoliticsJOE_UK: 🤑 Rishi Sunak A.K.A Sir Tax-a-Lot ft. the Conservative Party - I Like Big Cuts 🤑 https://t.co/isaOFbPmCk
590,90,Paulio,2022-10-25 18:01:55+00:00,0,Twitter for Android,"Now we've seen the very worst that the Conservative Party have to offer, even I would offer jobs to the likes of Hu… https://t.co/hNQNhBekUm"
591,91,Michael Mello,2022-10-25 18:01:51+00:00,0,Twitter for iPhone,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
592,92,beansntoast,2022-10-25 18:01:48+00:00,0,Twitter for Android,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
593,93,David Ross,2022-10-25 18:01:47+00:00,0,Twitter Web App,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
594,94,A,2022-10-25 18:01:47+00:00,0,Twitter for Android,"RT @deGourlay: The idea that this clown has any ""Conservative source"" is laughable. He is universally despised across the party."
595,95,Joy Faelden,2022-10-25 18:01:45+00:00,0,Twitter for Android,"RT @cnnbrk: Boris Johnson won't enter UK Conservative Party leadership race, dashing potential comeback bid for premiership. https://t.co/F…"
596,96,Nelly71,2022-10-25 18:01:45+00:00,0,Twitter for iPhone,@WestHam_Central West Ham and City fans commenting on the integrity of Liverpool football club … is like saying the… https://t.co/zaH9zyQiqI
597,97,Susan,2022-10-25 18:01:44+00:00,0,Twitter for iPhone,"RT @RachelBitecofer: I'll remind folks, they had to bring the evangelicals to the party with abortion but the entire point of the American…"
598,98,"Denita Benyshek, PhD, MA MFT, MFA, BFA",2022-10-25 18:01:40+00:00,0,Twitter Web App,"RT @RachelBitecofer: I'll remind folks, they had to bring the evangelicals to the party with abortion but the entire point of the American…"
599,99,Bigan Saliani,2022-10-25 18:01:40+00:00,0,Twitter for iPhone,RT @mehdirhasan: “Am I delighted that a nonwhite Brit of Indian descent managed to become PM? Yes. But is Rishi Sunak or the Conservative P…
600,0,lucy woods,2022-10-25 18:04:22+00:00,0,Twitter Web App,"RT @LBC: 'That was demeaning really.'

Boris Johnson found himself 'struggling and begging people for votes', claims former Conservative Pa…"
601,1,Maura McCormick,2022-10-25 18:04:21+00:00,0,Twitter Web App,RT @sarahdiaryz: New Conservative Party leader and Prime Minister Rishi Sunak was greeted by our beloved Lieutenant Colonel Johnny Thompson…
602,2,Canidae🆘🌻💙💛,2022-10-25 18:04:21+00:00,0,Twitter for iPad,RT @AhmedBaba_: @Independent What happened in the UK isn’t just an indictment of the UK’s Conservative Party and Liz Truss’s poor leadershi…
603,3,Shamz 🌤,2022-10-25 18:04:20+00:00,0,Twitter for iPhone,RT @jasebyjason: I really think Rishi Sunak being the first non-white Prime Minister only becomes genuinely historic if he’s voted into off…
604,4,Steve Hannaway,2022-10-25 18:04:20+00:00,0,Twitter for iPhone,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
605,5,Sam Golding,2022-10-25 18:04:16+00:00,0,Twitter for Android,The truss cabinet and the new Sunak cabinet really show what a sparsity of talent there is In the conservative part… https://t.co/LnfiDlGizo
606,6,President Millar,2022-10-25 18:04:13+00:00,0,Twitter for iPhone,RT @JDMahama: Significant developments in the UK with 42 year old @RishiSunak emerging as Leader of the Conservative Party and soon to be a…
607,7,"Wake Up America, the Original",2022-10-25 18:04:10+00:00,0,Twitter Web App,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
608,8,jothi venkaSESH,2022-10-25 18:04:08+00:00,0,Twitter for iPhone,RT @jasebyjason: I really think Rishi Sunak being the first non-white Prime Minister only becomes genuinely historic if he’s voted into off…
609,9,Shreyeaaahhh,2022-10-25 18:04:07+00:00,0,Twitter for Android,RT @NewsBytesApp: Rishi Sunak scripted history on Monday after winning the race to lead the Conservative Party &amp; became the PM of the Unite…
610,10,Samantha,2022-10-25 18:04:04+00:00,0,Twitter for iPhone,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
611,11,CommonCent5,2022-10-25 18:04:03+00:00,0,Twitter Web App,@IDontEvenWait @Leerose1985 @SusanSarandon The Nazis are more with the US style of left than conservative. The stat… https://t.co/gvuG1MI6fE
612,12,2020,2022-10-25 18:04:02+00:00,0,Twitter for iPhone,"After this sycophantic article in the Times, Kemi keeps her job in the reshuffle.
The Conservative Party 2022.… https://t.co/o0irBcGPsC"
613,13,Helen Cook,2022-10-25 18:04:00+00:00,0,Twitter for iPhone,"RT @GOV2UK: Jacob Rees-Mogg is furious that you keep retweeting him saying a new Prime Minister requires a General Election.

Please stop r…"
614,14,ProgShrop,2022-10-25 18:04:00+00:00,0,Twitter for Android,"RT @BladeoftheS: 55 Tufton Street own Rishi Sunak, just like they owned Johnson and Liz Truss.

Their claws will not leave the current Cons…"
615,15,sylvie adler,2022-10-25 18:03:58+00:00,0,Twitter for iPhone,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
616,16,doriparella,2022-10-25 18:03:58+00:00,0,Twitter for Android,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
617,17,Gareth Miller,2022-10-25 18:03:57+00:00,0,Twitter for iPhone,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
618,18,Fred,2022-10-25 18:03:55+00:00,0,Twitter for iPad,"@Conservatives No morals, no honesty, no good about sums up the Conservative party. #SunakOut #NotMyPM #ToryKorea #GeneralElectionNow"
619,19,Ishy✨,2022-10-25 18:03:53+00:00,0,Twitter for Android,RT @JDMahama: Significant developments in the UK with 42 year old @RishiSunak emerging as Leader of the Conservative Party and soon to be a…
620,20,Sharon Davis,2022-10-25 18:03:51+00:00,0,Twitter for Android,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
621,21,Paul Thompson,2022-10-25 18:03:50+00:00,0,Twitter for iPad,"RT @GOV2UK: Jacob Rees-Mogg is furious that you keep retweeting him saying a new Prime Minister requires a General Election.

Please stop r…"
622,22,Ladyprog,2022-10-25 18:03:50+00:00,0,Twitter for iPhone,"RT @PatrickChristys: Interesting that famous lefty footballers are willing to take millions from Qatar, and even defend the country on huma…"
623,23,Arch-Queeromancer 🧙🏽‍♂️,2022-10-25 18:03:49+00:00,0,Twitter Web App,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
624,24,chelse,2022-10-25 18:03:47+00:00,0,Twitter for iPhone,RT @jasebyjason: I really think Rishi Sunak being the first non-white Prime Minister only becomes genuinely historic if he’s voted into off…
625,25,Chris,2022-10-25 18:03:47+00:00,0,Twitter for iPhone,@CarolineLucas Just shows the lack of talent and experience in the Conservative Party now
626,26,RICHARD JOHNSON,2022-10-25 18:03:40+00:00,0,Twitter for iPhone,"RT @NewStatesman: EXCLUSIVE:  In a leaked video, Rishi Sunak boasted to Conservative Party members that he was prepared to take public mone…"
627,27,Carwyn,2022-10-25 18:03:39+00:00,0,Twitter for iPhone,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
628,28,Paul Flynn,2022-10-25 18:03:39+00:00,0,Twitter for iPhone,"RT @GOV2UK: Jacob Rees-Mogg says ""Now is the time for unity"" and we completely agree...

..Everyone unite against the Conservative Party no…"
629,29,Janet,2022-10-25 18:03:38+00:00,0,Twitter for iPhone,"RT @GOV2UK: Jacob Rees-Mogg is furious that you keep retweeting him saying a new Prime Minister requires a General Election.

Please stop r…"
630,30,Hidayat 🌞,2022-10-25 18:03:34+00:00,0,Twitter for iPhone,RT @jasebyjason: I really think Rishi Sunak being the first non-white Prime Minister only becomes genuinely historic if he’s voted into off…
631,31,sandra rutherford,2022-10-25 18:03:34+00:00,0,Twitter for iPhone,"RT @Ordinaryentity: @AndrewBowie_MP Most people want to cancel the Conservative party, I’m with Maggie Chapman."
632,32,⚫Martin,2022-10-25 18:03:33+00:00,0,Twitter for iPad,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
633,33,Jacko🌸🌸🌸,2022-10-25 18:03:28+00:00,0,Twitter for Android,RT @scribblingscri4: Telegraph journalist on GBNews just saying that Tory MPs in the house of commons think its hilarious that they've got…
634,34,🕷️Dez Bunny-Hugger 🇪🇺 #FBPPR,2022-10-25 18:03:27+00:00,0,Twitter Web App,"RT @LabourForGov: I cannot understand how anyone of a One Nation Conservative persuasion could support the current Conservative Party.

It…"
635,35,GRANT,2022-10-25 18:03:26+00:00,0,Twitter Web App,"RT @PatrickChristys: Interesting that famous lefty footballers are willing to take millions from Qatar, and even defend the country on huma…"
636,36,Sandy. Conservative. Thanks Boris 🇬🇧 🇮🇱 🇺🇦,2022-10-25 18:03:24+00:00,0,Twitter for Android,"RT @deGourlay: The idea that this clown has any ""Conservative source"" is laughable. He is universally despised across the party."
637,37,IndiaWithBJP,2022-10-25 18:03:22+00:00,0,Twitter Web App,"RT @firemediatv1: Britain's Conservative Party leader #RishiSunak becomes the #PrimeMinister of the #UnitedKingdom.
@RishiSunak @narendramo…"
638,38,Victory12 (@VictoryLaine12 ),2022-10-25 18:03:21+00:00,0,Twitter for Android,"RT @TheGentYYC: Reminder: the full national ""Conservative"" party has lined up four square behind a Freedummy championing, extremist enablin…"
639,39,A Total Badass,2022-10-25 18:03:16+00:00,0,Twitter for iPhone,"@DeCosteIsClear @Shyguy08218351 @Masscott1776 @realDailyWire It really, ok it applies on Twitter but when I say I’m… https://t.co/l2MsYCnwD8"
640,40,Myrna Tienken,2022-10-25 18:03:16+00:00,0,Twitter Web App,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
641,41,Christine 🇺🇦🌻,2022-10-25 18:03:15+00:00,0,Twitter for iPhone,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
642,42,Karma Norbu,2022-10-25 18:03:14+00:00,0,Twitter Web App,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
643,43,LeeSinglife,2022-10-25 18:03:13+00:00,0,Twitter for Android,RT @ScooterTrash10: @laurenboebert @lf092313 The party that supports a twice-impeached failed former president who added 7.8 trillion to th…
644,44,ʀɪᴄᴋ ꜰᴀɴᴅᴀɴɢᴏ,2022-10-25 18:03:09+00:00,0,Twitter for Android,RT @RickFandango: @10DowningStreet @SuellaBraverman @ukhomeoffice The #EuropeanResearchGroup (#ERG). A party operating within the #CONserva…
645,45,Jim Gardner 🇺🇦,2022-10-25 18:03:08+00:00,0,Twitter for Android,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
646,46,نحل زہراء,2022-10-25 18:03:08+00:00,0,Twitter for Android,RT @TheCivilEyes: Rishi Sunak will become British prime minister after other candidates quit the race to lead the Conservative Party. #Rish…
647,47,Victory12 (@VictoryLaine12 ),2022-10-25 18:03:07+00:00,0,Twitter for Android,"RT @TheGentYYC: So same politician that jumped to the front of the ""Freedom"" Convoy &amp; has numerous photos shaking hands with violent extrem…"
648,48,Wales / Galler,2022-10-25 18:03:04+00:00,0,dlvr.it,Departures in full as Rishi Sunak embarks on Cabinet reshuffle https://t.co/YteNYwweOd https://t.co/HverwdIhO2
649,49,sylviaoakes,2022-10-25 18:03:03+00:00,0,Twitter for iPhone,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
650,50,Craig Webb,2022-10-25 18:03:03+00:00,0,Twitter Web App,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
651,51,Stephen Watkins,2022-10-25 18:03:02+00:00,0,Twitter for Android,RT @MimiJ9: Rishi Sunak is going to give a very very far right politician a top cabinet job. Possibly the most far right in the whole of th…
652,52,Christine Ellor,2022-10-25 18:02:58+00:00,0,Twitter for Android,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
653,53,Cath #Viva La Resistenza 🇺🇦,2022-10-25 18:02:57+00:00,0,Twitter for Android,"More of the same , the worst of the Conservative party , ground hog day. https://t.co/v5bcksRAUj"
654,54,Richard Holden,2022-10-25 18:02:57+00:00,0,Twitter Web App,"RT @GOV2UK: Jacob Rees-Mogg is furious that you keep retweeting him saying a new Prime Minister requires a General Election.

Please stop r…"
655,55,G Harvey,2022-10-25 18:02:56+00:00,0,Twitter Web App,RT @PoliticsJOE_UK: 🤑 Rishi Sunak A.K.A Sir Tax-a-Lot ft. the Conservative Party - I Like Big Cuts 🤑 https://t.co/isaOFbPmCk
656,56,Intentionally Homeless,2022-10-25 18:02:55+00:00,0,Twitter for iPhone,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
657,57,Viv,2022-10-25 18:02:51+00:00,0,Twitter for Android,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
658,58,Denise Blything,2022-10-25 18:02:51+00:00,0,Twitter for iPhone,"RT @PatrickChristys: Interesting that famous lefty footballers are willing to take millions from Qatar, and even defend the country on huma…"
659,59,Dr Rachel Mann,2022-10-25 18:02:49+00:00,0,Twitter for iPhone,RT @paulbayes: The Prime Minister has spoken of unity and accountability. But this Cabinet does not draw from the breadth of the Conservati…
