Users,Date Created,Number of Likes,Source of Tweet,Tweet
chris cummings,2022-10-25 17:57:31+00:00,0,Twitter for Android,"RT @jeremycorbyn: In coronating Rishi Sunak, Tory MPs have decided that a former hedge fund manager is a safe pair of hands. 

The question…"
Kate 💙,2022-10-25 17:57:31+00:00,0,Twitter for iPhone,"RT @docrussjackson: Oh FFS is trending.

Braverman? Raab? Coffey? REALLY? Even Gavin fucking Williamson is being considered for a comeback!…"
stehad86 💚,2022-10-25 17:57:31+00:00,0,Twitter for Android,RT @WayneDavid81: I actually still cannot believe BBC News showed this Rishi Sunak word cloud earlier today 😮 https://t.co/OfIg09LoLr
Burçak Erekmekçi,2022-10-25 17:57:31+00:00,0,Twitter Web App,"RT @Turk0638: İngiltere'nin çiçeği burnunda başbakanı Rishi Sunak, Downing Sk.'ta kendisini karşılamak için bekleyen Başbakanlık Kedisi Lar…"
Chris Evans💙 #SaveOurNHS #labourfiles,2022-10-25 17:57:30+00:00,0,Twitter for iPhone,"RT @BeckettUnite: A reminder that Track &amp; Trace never worked, was always in the hands of private providers (never the NHS) and wasted £37 b…"
Pumpkin Spice Schmidt,2022-10-25 17:57:30+00:00,0,Twitter for Android,"RT @jeremycorbyn: In coronating Rishi Sunak, Tory MPs have decided that a former hedge fund manager is a safe pair of hands. 

The question…"
KC,2022-10-25 17:57:30+00:00,0,Twitter for iPhone,"RT @CarolineLucas: Outrageous for Rishi Sunak to try and distance himself from Johnson's chaotic Govt, when he was right at the heart of it…"
Andy Stanley,2022-10-25 17:57:30+00:00,0,Twitter for Android,"RT @guy_ingerson: From Rishi Sunak’s appointments we can see a continuation of culture wars on migration, LGBT+ and other human rights (Bra…"
Winston Smith,2022-10-25 17:57:30+00:00,0,Twitter Web App,"Rishi Sunak made it very clear, the only thing he cares about is paying back the MPs that voted for him

He doesn't… https://t.co/LHs8EJuHeY"
Joshua Goodwin,2022-10-25 17:57:30+00:00,0,Twitter for Android,RT @JustinWhang: Idk shit about uk politics but that Rishi Sunak dude seems ai generated to me
Pete Davenport💙,2022-10-25 17:57:30+00:00,0,Twitter for Android,"RT @GOV2UK: Rishi Sunak profited from Putin's Regime via Infosys, which his wife holds a £670M stake in.. while Russia was *actually invadi…"
Multiverse,2022-10-25 17:57:30+00:00,0,Twitter Web App,"@KedarAnilGadgil Rishi Sunak is a British PM because by birth he is British and his loyalties die with the UK.
Soni… https://t.co/9FxRE0s4Tv"
kath,2022-10-25 17:57:30+00:00,0,Twitter Web App,"RT @RichardJMurphy: So, Rishi Sunak appoints as Home Secretary a woman who dreams of deporting victims of torture to Rwanda. Any hope that…"
Bijay K Sahu,2022-10-25 17:57:29+00:00,0,Twitter for iPhone,"RT @WilliamJHague: Rishi Sunak brings stability and hope back to No 10. 
After the chaos of the past few months, this sensible appointment…"
Akram Naji #RakyatJagaRakyat,2022-10-25 17:57:29+00:00,0,Twitter Web App,"RT @MimiJ9: Suella Braverman returns as Home Secretary.

As if anymore proof is needed. Rishi Sunak is governing for Party unity rather tha…"
"Michael, biValent Boosted, Still masked 🏳️‍🌈",2022-10-25 17:57:29+00:00,0,Twitter for Android,"RT @AtomicAnalyst: This afternoon or evening, Rishi Sunak, the UK’s newest prime minister, will be briefed on its nuclear war plans and the…"
AndyKooky,2022-10-25 17:57:29+00:00,0,Twitter for iPhone,"RT @UKLabour: As Chancellor, Rishi Sunak failed to grow the economy and failed to help families, businesses and pensioners with the Tory co…"
Trevor Savage,2022-10-25 17:57:28+00:00,0,Twitter for iPad,"Me to, it appears to indicate Rishi Sunak leans more to the right than the left. https://t.co/CpCE8KWtSY"
Frodrick Williams,2022-10-25 17:57:28+00:00,0,Twitter for iPhone,RT @ThelmaAndLouie: Wonder if Rishi Sunak was an alum of #WEF🤔
Judith Stout,2022-10-25 17:57:28+00:00,0,Twitter Web App,RT @WritesBright: Rishi Sunak is acting like he’s being held hostage in Downing Street - a man worn down by the job even before he’s starte…
Matthew Shaw,2022-10-25 17:57:28+00:00,0,Twitter for iPhone,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
K med💙💙💙🇺🇦,2022-10-25 17:57:28+00:00,0,Twitter Web App,"RT @Charles83230639: Rishi Sunak is NOT my Prime Minister! 🇬🇧#GeneralElectionN0W 
RT if you feel the same."
Kay Mesure,2022-10-25 17:57:28+00:00,0,Twitter for iPhone,"RT @CarolineLucas: Outrageous for Rishi Sunak to try and distance himself from Johnson's chaotic Govt, when he was right at the heart of it…"
#claddingscandal #notjustcladding #FireSafetyBill,2022-10-25 17:57:28+00:00,0,Twitter for iPhone,"RT @CarlSte50121979: Rishi Sunak promises the fix the mistakes of his predecessor,  when is he going to fix his own mistakes ie a £20 in Un…"
